site,url,widget_id,title,shape,doctype,html_open,head_open,body_open,rendered_sha256,source_archive_sha256,evidence
kr,https://beautyblossom.kr/140,w2025073171adeb1f5069d,스컬트라 FAQ - 자주 묻는 질문,document_bundle,true,true,true,true,1ce968cbc714532d72625c9abd38d3e5735c25a728a92f806bc4c4abb374627c,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
kr,https://beautyblossom.kr/140,w20250730dfe06cabc6068,스컬트라 시술 정보,document_bundle,true,true,true,true,2ad0d61c330e0f9f653634e95710eb046fa9c596a72c8abcc06c57ba1ecb23a4,8549122f4549a2607703be59fec65d3ba514a3409c89995ceb95149937ce9176,pages/kr/937d12917d59e54a.html.gz
kr,https://beautyblossom.kr/141,w20250806697b25120df1c,스컬트라 텍스트 박스,document_bundle,true,true,true,true,29a81762949ed6e6b64b692de1137d7e4c0b9adb0464f0b8d303fcd5ccb35cf5,2449474c0890266131ea31812fac0ac86daca07840dd1c5535147d4718f335d0,pages/kr/09f46f6b5af50406.html.gz
kr,https://beautyblossom.kr/141,w20250806bd43c4ad2ef33,Thermage Features,document_bundle,true,true,true,true,0942e8e7a3cc4885ff9d100ae6dcec80764828e003a0c9b21dada432e379b164,2449474c0890266131ea31812fac0ac86daca07840dd1c5535147d4718f335d0,pages/kr/09f46f6b5af50406.html.gz
kr,https://beautyblossom.kr/141,w2025081053f4bf60862c7,스킨케어 프로그램 - 주름 타이트닝 리프팅 여드름 민감성 피부 치료,document_bundle,true,true,true,true,1869dec0940630ec5a02fe77135763c2b683cc71cf3fa85d9c5544da4357a224,2449474c0890266131ea31812fac0ac86daca07840dd1c5535147d4718f335d0,pages/kr/09f46f6b5af50406.html.gz
kr,https://beautyblossom.kr/141,w202508067f6e4c3b98b67,피부 관리 솔루션,document_bundle,true,true,true,true,cc4ee51118d1d53e372bb135a53ced6382aad2ac12383b08a891a74506a2df9f,2449474c0890266131ea31812fac0ac86daca07840dd1c5535147d4718f335d0,pages/kr/09f46f6b5af50406.html.gz
kr,https://beautyblossom.kr/141,w202508066f5f805b13bea,수술 후 주의사항,document_bundle,true,true,true,true,f1b1b64888d7d6ee55b4b062caa51e43c6a9a556b177fe343a112d445768eb08,2449474c0890266131ea31812fac0ac86daca07840dd1c5535147d4718f335d0,pages/kr/09f46f6b5af50406.html.gz
kr,https://beautyblossom.kr/142,w202508066c205e45f72dd,어깨필러 vs 보톡스,document_bundle,true,true,true,true,2e04bfbb95aa93850c20f75df45b09f7864e455742706bd0ae8493d170373a40,ad5236c952184db25ca0ea23c1ff2dcbc2adbcf3985f773ab59238f5ef7d21ff,pages/kr/4af4360cfb55f5f9.html.gz
kr,https://beautyblossom.kr/142,w202508062409dbfec4486,스컬트라 FAQ - 자주 묻는 질문,document_bundle,true,true,true,true,7754ed366d613d73f4d04cfa44a2d22597ba7937a2103d148a31813a1897de6e,ad5236c952184db25ca0ea23c1ff2dcbc2adbcf3985f773ab59238f5ef7d21ff,pages/kr/4af4360cfb55f5f9.html.gz
kr,https://beautyblossom.kr/143,w202508109ead74e1ea19d,피부 분석 시스템,document_bundle,true,true,true,true,529056811adcdd0f867e0d9c4b5efe74d3fbcf72fb051d2eec21af3ff63a15a8,25d57938f2fc7ffce15b4f1578d2558142f6507093d997e49ff026d4f6b46336,pages/kr/3794661f5395c8ce.html.gz
kr,https://beautyblossom.kr/143,w202508106cceb77916469,3D 피부 진단 혜택,document_bundle,true,true,true,true,5d21ba00cf8197214fee9d7f8084e7926afe5fd003588d4fc985262ff5af4410,25d57938f2fc7ffce15b4f1578d2558142f6507093d997e49ff026d4f6b46336,pages/kr/3794661f5395c8ce.html.gz
kr,https://beautyblossom.kr/28,w202502093504b04ef7753,보톡스 시술 부위,document_bundle,true,true,true,true,10903d705496c9678a3c8ab785e2d6600020863ad852725d2cca5353285d1498,a5c52de52a525a66f57b83aaa9aca3256deab6682b5b7e10e132037617512d23,pages/kr/aeef7ba2a75b749a.html.gz
kr,https://beautyblossom.kr/39,w202509157ee4e6d8217b4,퍼스널 레이어드 리프팅,document_bundle,true,true,true,true,fcfbf586a161a797d97346310df4f535f5b6d027af09311c60c3b7c9af581147,51f21a27dc0e7ed05023b2ecb09ed5f7d20f822910a5091422ba0e4761cd1ec3,pages/kr/4e2128de322e3dc9.html.gz
