site,url,image_index,src,data-src,alt,width,height,loading,alt_state,assessment
kr,https://beautyblossom.kr/,33,https://cdn.imweb.me/thumbnail/20250121/c08b717d5af00.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/,34,https://cdn.imweb.me/thumbnail/20250121/c4a1500b97263.png,,,,,,empty,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,1,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,2,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,3,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,4,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/90d3f850324b7.png,,banner,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,5,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/f10b4233b4c90.png,,뷰티블라썸의원,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,6,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/74c39c3b833f4.png,,KR,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,7,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/612a73dbe23c6.png,,EN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,8,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/8b37b4496b6f4.png,,CN,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,9,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/bc534ce03c3b1.png,,JP,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,10,https://cdn.imweb.me/upload/S2025011326b2ce90ae445/ba8ef7729e956.png,,TW,,,,present,not visually classified; empty alt can be correct for decoration
kr,https://beautyblossom.kr/110,11,https://pub-7ab1b86fbb9c4442971f0a3a7b5adf9f.r2.dev/beautyblossom/common/common-02.png,,TH,,,,present,not visually classified; empty alt can be correct for decoration
